comparison,component,n,coverage_pct,bias_m,mae_m,rmse_m,corr,median_abs_m,p95_abs_m,within_5cm_pct,within_10cm_pct
Python_vs_MATLAB_original7,E-W,6161,100.0,-0.006760537148953302,0.04106665514093477,0.2213522229428848,0.9701551506711112,0.0006105770662244714,0.1608073183560954,87.58318454796299,91.75458529459503
Python_vs_MATLAB_original7,N-S,6161,100.0,0.0011936903365318131,0.01305118026595258,0.06593916004636413,0.9774842109669756,0.0021177979598611674,0.03608497499654195,97.66271709138127,98.86382080831034
Python_vs_MATLAB_original7,Vertical,6161,100.0,-0.019459123441093913,0.020881795969226142,0.08272583016390003,0.9238444254563883,0.0005487074264226375,0.10398734885618399,89.6932316182438,94.88719363739652
Python_vs_MATLAB_all9,E-W,6161,100.0,-0.01087134001488397,0.03708507154506709,0.21738726537236303,0.969653083502867,0.00090534165438938,0.11472157789708604,89.64453822431423,93.94578802142509
Python_vs_MATLAB_all9,N-S,6161,100.0,0.0015326352039235086,0.011696136183907918,0.061171353651591265,0.9790666919290555,0.0020679747526556325,0.026783982981256393,98.55542931342315,98.86382080831034
Python_vs_MATLAB_all9,Vertical,6161,100.0,-0.015169406842217301,0.016350731024293602,0.07805858833686102,0.928770672832405,0.0005748606771901199,0.06411546487311526,93.11800032462263,97.37055672780393
MATLAB_all9_vs_original7,E-W,6161,100.0,-0.011046030719944063,0.0272465593466218,0.050528637794053394,0.9987117430930891,0.007049948597347644,0.11279379625700447,79.04560947898068,92.82583996104529
MATLAB_all9_vs_original7,N-S,6161,100.0,-0.0017592649948350695,0.015587482359774278,0.024888921264503944,0.9973761198054732,0.009897639089938903,0.04998045365164394,95.0008115565655,98.65281610128226
MATLAB_all9_vs_original7,Vertical,6161,100.0,-0.00561273807868092,0.012034704230907856,0.02640936596059989,0.9924615685485562,0.004572202887749288,0.04460622279197468,95.89352377860737,98.92874533354976
Python_all9_vs_original7,E-W,6161,100.0,-0.015156833585874734,0.03434256952684666,0.06701892248816942,0.9977757733475128,0.007727503776550293,0.14663875102996826,75.68576529784126,88.71936373965266
Python_all9_vs_original7,N-S,6161,100.0,-0.001420320127443374,0.017554784570208738,0.02854769239238197,0.9965192441869667,0.010134875774383545,0.05883723497390747,93.05307579938322,98.29573121246551
Python_all9_vs_original7,Vertical,6161,100.0,-0.0013230214798043071,0.013830975293365305,0.0342700117965752,0.9843763281864337,0.005127578973770142,0.04973381757736206,95.0332738191852,98.58789157604285
Python_tuned_vs_reproduction_all9,E-W,6161,100.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,100.0
Python_tuned_vs_reproduction_all9,N-S,6161,100.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,100.0
Python_tuned_vs_reproduction_all9,Vertical,6161,100.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,100.0,100.0
