comparison,component,n,coverage_pct,bias_m,mae_m,rmse_m,corr,median_abs_m,p95_abs_m,within_5cm_pct,within_10cm_pct
Python_preview_vs_MATLAB_original7,E-W,1410071,100.0,-0.0009195813491044994,0.006166745304225593,0.06077373129263234,0.9639787098261459,1.4549696933374712e-09,1.9581293697612523e-08,98.39050657732838,98.70822107539266
Python_preview_vs_MATLAB_original7,N-S,1410071,100.0,6.080590224345434e-05,0.002065630212390169,0.01872440915698762,0.9910213202903466,1.5106620121496661e-09,2.0618843347974813e-08,98.71751138772444,99.27110053323555
Python_preview_vs_MATLAB_original7,Vertical,1410071,100.0,-0.00015203786804491153,0.002035871402711656,0.019996582141737437,0.9249753834959789,2.9721433040391654e-10,5.246099388234171e-09,98.90955845485794,99.2674836940835
Python_preview_vs_MATLAB_all9,E-W,1410071,100.0,-0.0008709385233255133,0.0061070584224785065,0.05975214729008644,0.9650734271935922,1.4402192632934074e-09,1.9471416312644152e-08,98.38263463329152,98.70843383063689
Python_preview_vs_MATLAB_all9,N-S,1410071,100.0,9.628684175442723e-05,0.0018377976645421678,0.01638560190508842,0.9916410638029839,1.2055009698808128e-09,1.1702161684112866e-08,98.7902027628396,99.33960772188067
Python_preview_vs_MATLAB_all9,Vertical,1410071,100.0,-0.00012970778337780174,0.001986169606694045,0.019263344229709385,0.9254301626469985,2.44483456049438e-10,3.587002535276884e-09,98.92345846414827,99.2876245238715
MATLAB_all9_vs_original7,E-W,1410071,100.0,0.0021284025893845773,0.004409950114093913,0.009584462666963278,0.9991492152918501,0.00215652347530558,0.015308398168673302,99.5230027424151,99.90340911911528
MATLAB_all9_vs_original7,N-S,1410071,100.0,-0.01881982661426467,0.02820373397993652,0.07257450711198896,0.866430464526407,0.008885933944704806,0.11588516380866243,87.64253714883861,94.04065469043758
MATLAB_all9_vs_original7,Vertical,1410071,100.0,-0.002096584082790502,0.0050355658271518805,0.010956053083383302,0.9785564679084423,0.0021503475911769953,0.019126385298963097,99.06196212814817,99.8816371657881
Python_preview_all9_vs_original7,E-W,1410071,100.0,0.002177045415163565,0.004186271792219175,0.00776690151151719,0.9993718841182662,0.002128094434738159,0.014880378148518503,99.68810081194493,99.98737652217513
Python_preview_all9_vs_original7,N-S,1410071,100.0,-0.018784345674753684,0.027791082132339974,0.07203437119452268,0.8646001891344546,0.008736401796340942,0.11332098487764597,87.88926231374164,94.20958235436372
Python_preview_all9_vs_original7,Vertical,1410071,100.0,-0.0020742539981233915,0.004882317773691319,0.010397569688645976,0.9745689511462635,0.0021117692813277245,0.01853354217018932,99.14202901839695,99.9151815759632
Python_tuned_vs_preview_all9,E-W,1410071,100.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,100.0
Python_tuned_vs_preview_all9,N-S,1410071,100.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,100.0,100.0
Python_tuned_vs_preview_all9,Vertical,1410071,100.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,100.0,100.0
