implementation,observation_1based,median_sita
MATLAB,1,2.07516291737901e-05
MATLAB,2,0.0017309939644836122
MATLAB,3,0.0017746881625930872
MATLAB,4,0.00011168215855385823
MATLAB,5,0.0017741679809703203
MATLAB,6,0.0017724435652132142
MATLAB,7,0.00041170005682840486
MATLAB,8,0.0013198833154101117
MATLAB,9,0.0008631651820031192
Python_GPU_preview,1,1.6039481124607846e-05
Python_GPU_preview,2,0.0017336615128442645
Python_GPU_preview,3,0.0007567244465462863
Python_GPU_preview,4,0.00011090868065366521
Python_GPU_preview,5,0.0017713108099997044
Python_GPU_preview,6,0.0007870112895034254
Python_GPU_preview,7,0.00041523287654854357
Python_GPU_preview,8,0.0005223724292591214
Python_GPU_preview,9,1.577850525791291e-05
